Year,Player,Goals,Club,Age
2025,Kylian Mbappé,31,Real Madrid,26
2024,Erling Haaland,36,Manchester City,23
2023,Harry Kane,36,Bayern Munich,30
2022,Robert Lewandowski,35,Bayern Munich,34
2021,Robert Lewandowski,41,Bayern Munich,33
2020,Ciro Immobile,36,Lazio,31
2019,Lionel Messi,36,Barcelona,32
2018,Lionel Messi,34,Barcelona,31
2017,Lionel Messi,37,Barcelona,30
2016,Luis Suárez,40,Barcelona,29
2015,Cristiano Ronaldo,48,Real Madrid,30
2014,Cristiano Ronaldo,31,Real Madrid,29
2013,Lionel Messi,46,Barcelona,26
2012,Lionel Messi,50,Barcelona,25
2011,Cristiano Ronaldo,40,Real Madrid,26
2010,Lionel Messi,34,Barcelona,23
2009,Diego Forlán,32,Atlético Madrid,30
2008,Cristiano Ronaldo,31,Manchester United,23
2007,Francesco Totti,26,Roma,31
2006,Luca Toni,31,Fiorentina,29
